Company Code,MPD_AUG_2021,MPD_JUL_2021,MPD_JUN_2021,MPD_MAY_2021,MPD_APR_2021,MPD_MAR_2021,MPD_FEB_2021,MPD_JAN_2021,Average_Payment_Days,"('total_counts', '0')","('total_counts', '1-30')","('total_counts', '31-60')","('total_counts', '61-90')","('total_counts', '90+')",Risk
5052,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
5052,0,46,0,0,0,1,0,0,3,88,5,0,1,0,1
3008,0,0,0,0,0,0,0,0,5,13,9,0,0,0,0
3008,0,0,0,0,0,0,0,0,21,1,1,2,0,1,1
3008,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0
5018,0,0,0,0,0,0,0,0,9,7,0,2,0,0,0
3008,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,19,2,2,3,0,0,0
1001,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,18,1,0,2,14,1,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0
1001,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0
1001,0,0,0,0,0,51,0,0,26,7,5,8,4,5,1
1001,0,0,0,0,0,0,0,0,0,27,11,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,4,13,8,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1001,0,0,0,0,0,0,1,0,0,25,2,0,0,0,0
1001,0,0,0,0,0,0,24,36,15,2,1,2,0,0,0
1001,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1001,0,0,0,0,0,5,0,0,0,38,7,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,2,15,4,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,2,0,94,6,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1001,0,0,0,0,0,23,0,18,19,15,19,6,1,1,1
1001,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0
1001,0,0,0,0,0,0,5,0,0,10,1,0,0,0,0
1001,0,0,0,0,0,0,0,3,4,15,14,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,59,0,3,12,3,2,1,0,0,0
1001,0,0,0,0,0,0,0,0,27,2,2,4,0,0,0
1001,0,0,0,0,0,5,24,0,8,8,6,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1001,0,0,0,0,0,0,0,7,11,18,14,4,1,0,1
1001,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,77,0,0,0,1,1,1
1001,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
